Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1901,16.62,18.51,23.71,27.68,29.92,30.23,27.62,26.28,26.43,25.37,20.9,,
1902,18.16,19.81,25.06,28.08,30.38,29.87,27.42,27.17,26.02,24.61,20.35,,
1903,17.32,18.72,22.87,27.31,29.55,30.16,27.79,26.4,26.26,24.38,19.81,,
1904,17.13,19.27,23.27,28.26,29.68,28.98,26.65,26.37,26.08,24.66,20.2,,
1905,16.22,17.46,21.95,25.88,30.33,30.5,27.39,26.77,26.29,24.84,21.32,,
1906,16.69,18.48,22.53,27.95,31.07,29.01,27.21,26.38,25.87,24.6,21.25,,
1907,18.16,18.67,22.41,26.27,29.13,29.2,27.93,25.83,26.45,25.18,21.35,,
1908,16.86,19.32,23.25,28.76,30.12,30,26.61,25.81,25.96,24.5,20.17,,
1909,17.39,19,24.3,26.53,29.76,28.33,26.31,26.12,25.64,24.55,21.32,,
1910,17.11,19.2,23.62,27.51,30.09,28.6,26.78,26.2,26,23.98,19.52,,
1911,18.04,18.86,22.48,27.5,30.65,28.67,27.96,26.5,26.08,24.9,20.4,,
1912,17.64,20.24,23.64,27.6,30.36,30.56,27.28,26.21,25.97,24.69,20.12,,
1913,17.12,19.52,22.49,28.5,29.32,28.11,26.89,26.43,26.45,24.95,20.46,,
1914,17.99,19.5,23.18,27.01,30.02,29.08,26.83,26.21,26.2,24.25,21.28,,
1915,17.41,18.75,23.34,27.54,30.77,30.14,27.79,26.71,26.6,25.61,21.73,,
1916,17.53,19.09,24.99,28.41,30.21,28.03,27.13,26.3,26.15,24.53,20.22,,
1917,17.25,19.16,22.88,26.23,28.53,28.07,26.71,26.2,25.5,23.97,19.8,,
1918,16.25,19.33,23.43,26.57,29.91,28.11,28.14,26.66,26.54,25.06,21.33,,
1919,17.8,19.1,23.99,27.34,29.79,29.14,26.85,26.32,26,24.41,21.02,,
1920,17.64,19.07,23.75,27.4,28.68,29.25,27.03,26.56,26.92,25.65,21.47,,
1921,18.01,19.26,25.31,28.88,31.43,29.36,27.69,26.21,25.81,24.1,20.18,,
1922,17.21,20.08,24.53,28.46,30.45,28.92,26.99,26.39,25.88,24.21,20.67,,
