Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,
1901,23.64,25.67,31.19,34.84,36.59,35.52,31.61,30,30.91,31.28,27.57,24.78,
1902,25.2,27.05,32.45,35.2,37.01,35.17,31.39,30.91,30.49,30.52,27.12,24.29,
1903,24.35,25.91,30.24,34.45,36.22,35.47,31.8,30.12,30.73,30.27,26.46,23.89,
1904,24.19,26.52,30.69,35.34,36.33,34.25,30.64,30.1,30.61,30.63,26.91,24.57,
1905,23.24,24.68,29.3,33.06,36.98,35.83,31.38,30.46,30.77,30.73,28.06,24.31,
1906,23.7,25.7,29.93,35.03,37.71,34.31,31.22,30.1,30.38,30.5,27.98,25.14,
1907,25.17,25.87,29.83,33.43,35.79,34.49,31.92,29.57,30.95,31.17,28.13,24.01,
1908,23.88,26.54,30.73,35.91,36.78,35.3,30.61,29.57,30.48,30.48,26.91,23.76,
1909,24.43,26.24,31.81,33.7,36.41,33.61,30.31,29.83,30.16,30.44,28,24.6,
1910,24.1,26.47,31.03,34.65,36.76,33.88,30.78,29.94,30.5,29.86,26.27,23.87,
1911,25.05,26.11,29.88,34.63,37.3,33.94,31.95,30.23,30.57,30.8,27.11,24.54,
1912,24.7,27.41,31.04,34.74,36.98,35.88,31.27,29.94,30.49,30.62,26.81,24.04,
1913,24.16,26.71,29.88,35.6,36,33.37,30.91,30.16,30.96,30.85,27.17,24.45,
1914,25.06,26.76,30.59,34.17,36.62,34.38,30.83,29.93,30.73,30.24,28.05,24.55,
1915,24.41,26.02,30.75,34.69,37.38,35.44,31.77,30.44,31.08,31.49,28.38,24.53,
1916,24.55,26.3,32.42,35.53,36.85,33.29,31.14,30.01,30.63,30.39,26.88,23.68,
1917,24.29,26.4,30.33,33.39,35.18,33.34,30.69,29.93,29.97,29.84,26.45,24.26,
1918,23.3,26.55,30.81,33.69,36.49,33.34,32.14,30.35,31.04,30.97,28.07,24.31,
1919,24.81,26.27,31.46,34.51,36.47,34.43,30.84,30.06,30.51,30.32,27.67,24.27,
1920,24.63,26.32,31.07,34.53,35.35,34.57,31.02,30.31,31.41,31.55,28.23,24.89,
1921,25.03,26.5,32.64,36.01,38.03,34.65,31.68,29.91,30.31,29.99,26.92,25.19,
1922,24.25,27.35,31.95,35.6,37.12,34.17,30.97,30.1,30.37,30.13,27.36,23.97,
1923,24.4,26.03,31.41,35.26,36.48,36.22,30.96,29.84,30.63,29.98,27.28,24.88,
1924,24.4,27.03,32.58,35.89,36.19,35.81,31.25,30.26,30.17,30.25,26.79,24.61,
1925,23.13,25.41,31.46,35.87,35.93,33.6,30.41,30.27,31,30.9,27.41,24.32,
1926,24.75,27.66,30.67,33.26,35.8,36.34,31.56,30.15,30.53,30.31,26.35,24.41,
1927,24.08,26.08,30.53,34.79,36.34,34.69,30.91,29.95,30.79,30.64,26.68,25.11,
1928,24.45,26.87,31.39,34.99,37.4,34.47,30.98,30.53,30.83,30.82,27.85,24.62,
1929,24.26,25.74,32.09,34.96,37.33,34.47,30.95,29.93,31,30.35,27.7,24.16,
1930,23.96,25.97,31.51,34.55,36.61,34.51,30.7,30.03,30.95,30.86,26.88,24.82,
1931,25.21,26.33,31.01,35.97,37.01,35.62,31.11,30.54,30.59,30.29,27.15,24.77,
1932,25.14,25.84,31.25,34.98,36.32,35.26,31.11,30.18,30.86,31.03,27.56,24.57,
1933,23.77,27.21,31.38,33.98,35.04,33.84,31.03,29.66,30.33,30.27,27.48,24.78,
1934,23.41,27.02,30.76,35.13,36.71,34.45,30.96,29.94,30.69,30.05,26.7,24.78,
1935,23.45,26.69,31.25,33.34,37.36,35.3,30.89,29.82,30.37,30.57,27.57,24.86,
1936,24.11,26.58,31.02,34.68,37.34,33.12,30.91,30.09,30.72,30.45,27.9,24.66,
1937,23.61,26.93,30.43,34.1,36.62,34.99,30.85,30.36,30.88,30.04,27.53,23.96,
1938,24.8,25.67,32.15,35.62,37.17,32.9,30.85,30.4,31.06,30.59,26.5,24.49,
1939,24.91,26.91,29.98,34.32,37.26,34.35,30.86,30.56,30.76,30.95,27.17,24.72,
1940,24.16,26.7,29.87,34.42,36.84,34.75,31.08,30,30.77,30.89,28.24,24.79,
1941,24.38,27.29,32.57,36.35,37.47,34.49,31.64,30.83,31.12,31.65,27.79,25.77,
1942,24.13,27.06,32,35.67,37.4,35.48,30.78,29.98,30.34,30.68,27.83,24.49,
1943,24.91,26.14,31.52,34.1,36.71,34.06,30.81,29.82,30.74,30.32,28.22,24.9,
1944,24.2,26.24,30.38,34.02,37.53,34.84,30.9,30.28,30.69,30.35,27.73,25.5,
1945,23.36,25.98,31.6,33.97,36.66,35.1,30.97,30.44,30.63,30.11,27.05,23.64,
1946,24.53,27.63,31.35,35.36,36.74,34.12,31.02,30.2,30.84,30.96,27.75,25.2,
1947,24.23,26.88,31.82,35.63,37.38,35.58,31.26,30.65,30.55,29.76,27.96,25.02,
1948,24.66,26.6,30.84,35.66,37.47,35.1,31.26,30.1,30.7,30.99,27.75,24.27,
1949,25.09,26.46,31.68,35.17,36.8,34.43,31.01,30.33,30.94,30.71,26.68,24.2,
1950,24.78,25.65,30.51,34.62,37.06,34.72,30.75,30.17,30.48,30.17,26.64,23.96,
1951,23.8,26.46,31.33,33.93,36.65,34.59,31.66,30.41,31.36,32.1,28.48,24.95,
1952,25.09,28.05,30.96,35.65,37.18,34.83,31.23,29.97,31,30.92,27.29,25.34,
1953,24.12,28.19,33.22,35.62,37.53,35.36,31.17,30.16,30.83,30.63,27.41,25.74,
1954,23.75,27.84,31.77,35.86,37.74,34.81,31.09,30.46,30.48,29.41,27.08,24.67,
1955,24.11,27.61,32.56,34.25,36,34.55,31.11,29.63,30.29,29.82,27.01,24.49,
1956,24.24,26.95,31.77,35.69,37.19,33.23,29.97,29.65,30.55,29.84,27.07,24.72,
1957,23.95,25.87,30.06,34.39,36.32,34.89,31.02,30.2,30.79,30.78,28.36,25.41,
1958,25.64,27.18,32.21,36.12,37.12,36.25,30.91,30.33,30.3,30.41,28.17,25.29,
1959,24.52,26.66,32.32,35.45,36.86,34.65,30.51,29.91,30.2,30.45,27.64,25.27,
1960,24.25,28.81,30.5,35,37.05,34.99,30.98,30.14,30.95,30.56,27.57,25.52,
1961,24.87,25.43,32.11,35.28,36.63,34.11,30.61,30.12,30.29,30.01,26.7,23.67,
1962,23.65,26.97,31.25,34.97,36.54,35.01,31.36,30.13,30.2,30.19,27.7,24.55,
1963,24.32,28.12,31.19,34.03,36,34.27,31.51,29.95,30.78,30.93,28.1,25.34,
1964,23.9,27.16,32.74,35.66,36.52,34.7,30.56,30.09,30.43,30.84,27.41,24.83,
1965,25.39,26.8,30.86,33.88,36.5,35.29,31.11,30.35,30.85,31.24,28.53,25.04,
1966,25.04,28.57,31.75,35.19,37.03,34.58,32.07,30.34,30.76,31.13,28.08,24.74,
1967,24.2,28.38,30.25,34.53,36.79,35.01,31.23,29.82,30.39,30.59,27.52,25.18,
1968,23.42,25.9,31.27,34.43,36.29,34.66,31.13,30.33,31.74,30.55,28.13,25.14,
1969,24.39,27.43,33.11,35.46,36.4,35.14,31.31,30.19,30.53,31.26,28.88,25.43,
1970,24.56,26.88,31.12,35.77,37.28,33.63,31.43,30.08,30.46,30.94,27.48,24.85,
1971,23.9,26.97,31.36,35.14,35.64,32.71,30.44,29.75,30.74,30.16,27.18,24.71,
1972,24.65,25.23,31.89,34.75,37.3,35.93,31.92,30.39,31.11,30.84,27.97,25.47,
1973,24.79,28.07,31.59,36.75,37.53,34.74,31.24,29.93,30.59,30.31,27.37,24.14,
1974,24.05,26.53,32.41,35.89,36.38,34.56,31.24,30.46,31.48,30.81,27.56,23.9,
1975,23.52,26.56,31.17,35.65,37.18,34.06,30.53,30.01,29.84,30.57,26.87,24.62,
1976,24.27,26.74,31.38,34.61,36.48,34,31.2,29.69,30.52,31.28,29.04,25.29,
1977,24.22,27.39,33.12,34.63,35.37,34.11,30.84,30.21,30.57,30.93,28.79,25.06,
1978,23.81,26.07,30.1,35,37.69,34.35,30.49,29.79,30.47,31.02,28.39,25.03,
1979,24.88,25.93,30.49,35.61,36.42,35.4,31.69,30.59,31.29,31.25,28.55,25.12,
1980,24.67,27.64,31.12,36.27,37.67,34.08,30.86,30.27,31.28,31.05,28.37,25.17,
1981,23.8,27.48,30.73,35.07,36.59,35.17,30.73,30.25,31.17,30.94,27.08,24.56,
1982,24.72,25.97,29.99,34.24,35.65,34.67,32.24,30.28,31.35,31.19,27.39,25.17,
1983,23.98,26.2,30.68,33.65,36.1,35.14,31.8,30.39,30.76,30.07,27.41,24.44,
1984,23.81,25.76,32.48,35.38,37.81,34.47,30.71,30.15,30.17,30.77,27.52,25.45,
1985,24.5,27.4,33.17,35.53,37.16,34.46,30.65,30.28,31.07,29.95,27.85,25.58,
1986,24.25,26.64,31.43,35.15,36.36,34.71,31,30.32,31.3,30.82,28.45,24.76,
1987,24.72,27.51,31.43,35.41,35.73,35.66,32.19,31.12,32,31.38,28.86,25.2,
1988,25.58,28.19,31.46,35.61,37.69,34.87,30.91,30.3,31.33,30.94,27.92,25.54,
1989,23.89,26.84,30.86,35.14,37.18,33.99,31.21,30.28,31.09,31.1,28.2,24.66,
1990,26.05,26.69,30.07,34.86,35.96,34.09,30.57,30.27,30.63,30.23,28.47,25.28,
1991,23.94,27.42,31.77,34.66,36.92,34.09,31.77,30.07,31.06,30.89,27.78,24.8,
1992,24.17,25.9,31.58,34.95,36.26,35.24,31.6,29.95,30.62,30.58,27.81,25.06,
1993,24.6,27.87,30.21,34.73,36.99,35.17,31.27,30.79,30.51,30.95,28.29,25.31,
1994,25.01,26.39,32.74,34.28,37.39,34.43,30.49,29.92,30.69,30.79,27.74,24.94,
1995,23.27,27,30.77,34.62,36.63,35.98,31.45,30.4,31.07,31.36,28.22,25.25,
1996,24.89,27.61,32.61,35.2,37.02,34.54,31.42,29.78,30.83,30.35,28.18,25.4,
1997,24.09,26.63,31.6,33.39,35.88,34.31,31.62,30.44,30.77,30.31,27.78,23.99,
1998,24.63,27.45,30.99,35.43,37.8,35.76,31.49,30.78,31.06,31.4,28.37,25.42,
1999,24.32,28.21,32.74,36.53,36.32,34.12,31.24,30.32,31.07,31,28.91,25.72,
2000,25.09,26.22,31.23,36.24,36.57,33.89,30.95,30.54,31.08,31.94,29.04,25.8,
2001,24.97,28.13,31.98,35.09,37.12,33.63,31.04,30.54,31.62,31.53,29.09,25.87,
2002,24.73,27.72,32.5,36.09,37.75,34.84,32.16,30.3,30.73,31.43,28.6,26.09,
2003,24.99,27.67,31.58,36,36.99,35.4,31.14,30.53,30.83,31.13,28.71,25.29,
2004,24.56,27.64,33.76,36.28,36.84,34.06,31.6,30.33,31.65,30.42,28.53,26.07,
2005,24.67,27.24,32.19,35.03,36.38,35.75,31.2,30.8,31.17,30.82,28.02,24.99,
2006,25.28,29.3,31.55,34.92,37.13,34.45,31.49,30.27,31.27,31.5,28.71,26.06,
2007,25.45,27.57,31.87,36.35,37.28,34.8,31.54,30.8,31.29,31.11,28.81,25.68,
2008,24.55,26.36,32.7,35.14,36.67,33.7,31.17,30.17,31.01,31.5,29.03,26.8,
2009,26.24,29.01,32.74,36.21,37.38,35.66,31.81,31.37,31.64,31.3,28.74,26.14,
2010,25,28.27,33.91,37.34,37.8,35.21,31.64,30.73,30.95,31.68,29.52,25.06,
2011,24.12,27.6,32.14,34.77,37.18,34.29,31.36,30.54,31.05,31.57,29.21,25.92,
2012,23.89,26.95,31.86,35.38,37.42,35.62,31.68,30.39,31.04,30.88,28.14,25.94,
2013,24.57,27.49,32.19,35.23,37.48,34.01,30.94,30.16,31.35,31.09,28.04,25.21,
2014,24.68,26.55,31.12,35.34,36.53,35.95,31.9,30.97,31.08,31.42,28.8,24.81,
2015,24.19,27.78,31.11,34.58,37.4,34.39,31.55,30.79,31.73,31.95,29.21,25.75,
2016,25.19,28.67,32.88,36.44,37.37,35.26,31.32,30.7,31.34,31.36,28.26,26.36,
2017,24.9,28.21,31.86,36.12,37.53,34.72,31.31,30.9,31.63,31.92,28.44,25.69,
2018,25.06,28.24,32.77,35.63,37.21,34.87,31.26,30.59,31.08,31.33,28.77,24.94,
2019,24.38,27.06,31.43,36.14,37.33,36.1,31.99,30.7,31.19,30.86,28.85,24.72,
2020,24.05,27.5,31.15,35.09,36.91,34.29,32.01,30.81,31.94,31.91,28.19,25.37,
2021,25.24,28.25,32.87,35.39,36.12,34.05,31.83,31.01,31.35,31.59,28.58,25.12,
