index,SUBDIVISION,YEAR,MONTH,MAX_TEMP,MIN_TEMP,MEAN_TEMP,PRECEPTIONS,PRESSURE,WIND_SPEED,RAINFALL
1,ANDAMAN & NICOBAR ISLANDS,1970.0,1.0,10.61,24.56,17.56,18.06,18.06,18.06,72.2
2,ANDAMAN & NICOBAR ISLANDS,1970.0,2.0,12.57,26.88,19.71,15.79,15.79,15.79,34.0
3,ANDAMAN & NICOBAR ISLANDS,1970.0,3.0,16.58,31.12,23.82,21.89,21.89,21.89,7.8
4,ANDAMAN & NICOBAR ISLANDS,1970.0,4.0,21.47,35.77,28.6,24.42,24.42,24.42,58.2
5,ANDAMAN & NICOBAR ISLANDS,1970.0,5.0,24.12,37.28,30.67,60.09,60.09,60.09,422.7
6,ANDAMAN & NICOBAR ISLANDS,1970.0,6.0,23.23,33.63,28.4,213.8,213.8,213.8,407.3
7,ANDAMAN & NICOBAR ISLANDS,1970.0,7.0,23.13,31.43,27.26,253.03,253.03,253.03,564.6
8,ANDAMAN & NICOBAR ISLANDS,1970.0,8.0,22.72,30.08,26.38,327.79,327.79,327.79,342.9
9,ANDAMAN & NICOBAR ISLANDS,1970.0,9.0,21.83,30.46,26.12,225.78,225.78,225.78,423.5
10,ANDAMAN & NICOBAR ISLANDS,1970.0,10.0,19.04,30.94,24.96,79.71,79.71,79.71,386.6
11,ANDAMAN & NICOBAR ISLANDS,1970.0,11.0,13.37,27.48,20.4,16.36,16.36,16.36,418.4
1,ANDAMAN & NICOBAR ISLANDS,1971.0,1.0,9.99,23.9,16.92,11.41,11.41,11.41,41.5
2,ANDAMAN & NICOBAR ISLANDS,1971.0,2.0,11.9,26.97,19.42,13.08,13.08,13.08,32.8
3,ANDAMAN & NICOBAR ISLANDS,1971.0,3.0,15.85,31.36,23.58,10.78,10.78,10.78,37.7
4,ANDAMAN & NICOBAR ISLANDS,1971.0,4.0,20.86,35.14,27.98,36.38,36.38,36.38,35.3
5,ANDAMAN & NICOBAR ISLANDS,1971.0,5.0,22.65,35.64,29.12,68.82,68.82,68.82,398.0
6,ANDAMAN & NICOBAR ISLANDS,1971.0,6.0,22.94,32.71,27.8,207.47,207.47,207.47,394.6
7,ANDAMAN & NICOBAR ISLANDS,1971.0,7.0,22.77,30.44,26.58,234.97,234.97,234.97,421.1
8,ANDAMAN & NICOBAR ISLANDS,1971.0,8.0,22.41,29.75,26.05,279.11,279.11,279.11,327.9
9,ANDAMAN & NICOBAR ISLANDS,1971.0,9.0,21.58,30.74,26.14,163.42,163.42,163.42,470.2
10,ANDAMAN & NICOBAR ISLANDS,1971.0,10.0,18.57,30.16,24.34,97.1,97.1,97.1,505.3
11,ANDAMAN & NICOBAR ISLANDS,1971.0,11.0,13.51,27.18,20.32,13.81,13.81,13.81,178.4
1,ANDAMAN & NICOBAR ISLANDS,1972.0,1.0,9.89,24.65,17.25,5.65,5.65,5.65,13.7
2,ANDAMAN & NICOBAR ISLANDS,1972.0,2.0,10.88,25.23,18.04,15.48,15.48,15.48,1.7
3,ANDAMAN & NICOBAR ISLANDS,1972.0,3.0,16.48,31.89,24.16,9.15,9.15,9.15,7.5
4,ANDAMAN & NICOBAR ISLANDS,1972.0,4.0,20.21,34.75,27.46,23.45,23.45,23.45,178.3
5,ANDAMAN & NICOBAR ISLANDS,1972.0,5.0,23.67,37.3,30.46,44.98,44.98,44.98,420.2
6,ANDAMAN & NICOBAR ISLANDS,1972.0,6.0,24.78,35.93,30.33,112.4,112.4,112.4,470.0
7,ANDAMAN & NICOBAR ISLANDS,1972.0,7.0,23.5,31.92,27.69,206.75,206.75,206.75,544.6
8,ANDAMAN & NICOBAR ISLANDS,1972.0,8.0,22.82,30.39,26.58,213.19,213.19,213.19,384.9
9,ANDAMAN & NICOBAR ISLANDS,1972.0,9.0,21.41,31.11,26.24,133.98,133.98,133.98,444.5
10,ANDAMAN & NICOBAR ISLANDS,1972.0,10.0,18.72,30.84,24.76,67.48,67.48,67.48,263.8
11,ANDAMAN & NICOBAR ISLANDS,1972.0,11.0,14.22,27.97,21.07,25.74,25.74,25.74,413.9
1,ANDAMAN & NICOBAR ISLANDS,1973.0,1.0,10.49,24.79,17.62,12.34,12.34,12.34,18.1
2,ANDAMAN & NICOBAR ISLANDS,1973.0,2.0,13.35,28.07,20.69,11.98,11.98,11.98,20.3
3,ANDAMAN & NICOBAR ISLANDS,1973.0,3.0,16.43,31.59,23.99,13.57,13.57,13.57,30.5
4,ANDAMAN & NICOBAR ISLANDS,1973.0,4.0,22.1,36.75,29.4,20.51,20.51,20.51,29.6
5,ANDAMAN & NICOBAR ISLANDS,1973.0,5.0,24.21,37.53,30.84,65.27,65.27,65.27,418.6
